city,location,price,bedrooms,baths,size,title,page_url,date_added,property_type,latitude,longitude,number_of_photos,province,agency,purpose
Multan,"Nasheman Colony, Multan",13000000,4,4,1125,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_nasheman_colony_5_marla_brand_new_house_is_available_for_sale_bosan_road_nasheman_colony-47636672-1075-1.html,Added: 10 hours ago,Houses_Property,30.233209,71.485652,33,Punjab,Zaidi Property Associates and Builders,Buy
Multan,"Buch Executive Villas, Multan",15500000,5,5,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_triple_storey_luxury_house_available_for_sale-44855347-8627-1.html,Added: 3 weeks ago,Houses_Property,30.286812,71.489983,46,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"Wapda Town Phase 2, Wapda Town",66000000,6,6,4500,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_20_marla_brand_new_house_for_sale_in_wapda_town_phase_2-47428643-5825-1.html,Added: 3 weeks ago,Houses_Property,30.236342,71.526875,41,Punjab,Jinnah Associates,Buy
Multan,"Wapda Town Phase 2, Wapda Town",66000000,6,6,4500,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_1_kanal_brand_new_house_available_on_60ft_road_facing-47419228-5825-1.html,Added: 3 weeks ago,Houses_Property,30.236342,71.526875,47,Punjab,Jinnah Associates,Buy
Multan,"Wapda Town Phase 1, Wapda Town",74000000,7,6,4500,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_fully_furnished_luxurious_brand_spanish_triple_storey_house_available_on_main_boulevard-47399903-5821-1.html,Added: 3 weeks ago,Houses_Property,30.24275599999998,71.50854200000003,50,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"Serene Tower, DHA Defence",12800000,0,1,1035,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/dha_defence_serene_tower_prime_location_713_square_feet_flat_situated_in_serene_tower_for_sale-47386736-20824-1.html,Added: 3 weeks ago,Flats_Apartments,30.289899,71.518559,7,Punjab,Ahbab Associates,Buy
Multan,"Buch Executive Villas, Multan",15000000,3,4,0.0,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_corner_house_sized_4_marla_available_in_buch_executive_villas-46870670-8627-1.html,Added: 2 weeks ago,Houses_Property,30.286812,71.489983,12,Punjab,Executive Builders & Real Estate,Buy
Multan,"Model Town, Multan",60000000,5,6,4500,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_model_town_1_kanal_classical_house_available_in_model_town_multan-46963873-1147-1.html,Added: 2 weeks ago,Houses_Property,30.244165,71.499488,41,Punjab,Property Bank,Buy
Multan,"Model Town, Multan",34000000,0,0,2250,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_model_town_corner_house_for_sale_situated_in_model_town-47383465-1147-1.html,Added: 2 weeks ago,Houses_Property,30.244165,71.499488,42,Punjab,Property Bank,Buy
Multan,"Royal Orchard, Multan Public School Road",32500000,0,0,2250,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_public_school_road_royal_orchard_double_storey_10_marla_house_available_in_royal_orchard_for_sale-47384102-9492-1.html,Added: 2 weeks ago,Houses_Property,30.25617,71.560725,44,Punjab,Property Bank,Buy
Multan,"MA Jinnah Road, Multan",4800000,2,3,855,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_ma_jinnah_road_single_storey_3_75_marla_house_for_sale_in_ma_jinnah_road_ma_jinnah_road-42584890-10426-1.html,Added: 3 weeks ago,Houses_Property,30.23375,71.51554,12,Punjab,Uzair Property Advisor,Buy
Multan,"Buch Executive Villas, Multan",35000000,5,6,2250,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_house_available_for_sale-47519395-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,24,Punjab,Hamid Homes,Buy
Multan,"Buch Executive Villas, Multan",14900000,3,4,1125,Brand New Triple Storey Luxury House Available For Sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_house_available_for_sale-47519457-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,12,Punjab,Hamid Homes,Buy
